table_name|cols
auditlog_logentry|id:integer, object_pk:character varying, object_id:bigint, object_repr:text, action:smallint, changes:jsonb, timestamp:timestamp with time zone, actor_id:integer, content_type_id:integer, remote_addr:inet, additional_data:jsonb, serialized_data:jsonb, cid:character varying, changes_text:text, remote_port:integer, actor_email:character varying
auth_group|id:integer, name:character varying
auth_group_permissions|id:bigint, group_id:integer, permission_id:integer
auth_permission|id:integer, name:character varying, content_type_id:integer, codename:character varying
auth_user|id:integer, password:character varying, last_login:timestamp with time zone, is_superuser:boolean, username:character varying, first_name:character varying, last_name:character varying, email:character varying, is_staff:boolean, is_active:boolean, date_joined:timestamp with time zone, is_new_employee:boolean
auth_user_groups|id:bigint, user_id:integer, group_id:integer
auth_user_user_permissions|id:bigint, user_id:integer, permission_id:integer
base_announcement|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, description:text, expire_date:date, disable_comments:boolean, public_comments:boolean, created_by_id:integer, modified_by_id:integer
base_announcement_attachments|id:bigint, announcement_id:bigint, attachment_id:bigint
base_announcement_company_id|id:bigint, announcement_id:bigint, company_id:bigint
base_announcement_department|id:bigint, announcement_id:bigint, department_id:bigint
base_announcement_employees|id:bigint, announcement_id:bigint, employee_id:bigint
base_announcement_filtered_employees|id:bigint, announcement_id:bigint, employee_id:bigint
base_announcement_job_position|id:bigint, announcement_id:bigint, jobposition_id:bigint
base_announcementcomment|id:bigint, created_at:timestamp with time zone, is_active:boolean, comment:text, announcement_id_id:bigint, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer
base_announcementexpire|id:bigint, days:integer
base_announcementview|id:bigint, viewed:boolean, created_at:timestamp with time zone, announcement_id:bigint, user_id:integer
base_attachment|id:bigint, file:character varying
base_attendanceallowedip|id:bigint, is_enabled:boolean, additional_data:jsonb
base_baserequestfile|id:bigint, file:character varying
base_biometricattendance|id:bigint, is_installed:boolean, company_id_id:bigint
base_company|id:bigint, created_at:timestamp with time zone, is_active:boolean, company:character varying, hq:boolean, address:text, country:character varying, state:character varying, city:character varying, zip:character varying, icon:character varying, date_format:character varying, time_format:character varying, created_by_id:integer, modified_by_id:integer
base_companyleaves|id:bigint, created_at:timestamp with time zone, is_active:boolean, based_on_week:character varying, based_on_week_day:character varying, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
base_dashboardemployeecharts|id:bigint, created_at:timestamp with time zone, is_active:boolean, charts:jsonb, created_by_id:integer, employee_id:bigint, modified_by_id:integer
base_department|id:bigint, created_at:timestamp with time zone, is_active:boolean, department:character varying, created_by_id:integer, modified_by_id:integer
base_department_company_id|id:bigint, department_id:bigint, company_id:bigint
base_driverviewed|id:bigint, viewed:character varying, user_id:integer
base_dynamicemailconfiguration|id:bigint, created_at:timestamp with time zone, is_active:boolean, host:character varying, port:smallint, from_email:character varying, username:character varying, display_name:character varying, password:character varying, use_tls:boolean, use_ssl:boolean, fail_silently:boolean, is_primary:boolean, use_dynamic_display_name:boolean, timeout:smallint, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
base_dynamicpagination|id:bigint, pagination:integer, user_id_id:integer
base_emaillog|id:bigint, subject:character varying, body:text, from_email:character varying, to:character varying, status:character varying, created_at:timestamp with time zone, company_id_id:bigint
base_employeeshift|id:bigint, created_at:timestamp with time zone, is_active:boolean, employee_shift:character varying, weekly_full_time:character varying, full_time:character varying, created_by_id:integer, grace_time_id_id:bigint, modified_by_id:integer
base_employeeshift_company_id|id:bigint, employeeshift_id:bigint, company_id:bigint
base_employeeshiftday|id:bigint, day:character varying
base_employeeshiftday_company_id|id:bigint, employeeshiftday_id:bigint, company_id:bigint
base_employeeshiftschedule|id:bigint, created_at:timestamp with time zone, is_active:boolean, minimum_working_hour:character varying, start_time:time without time zone, end_time:time without time zone, is_night_shift:boolean, is_auto_punch_out_enabled:boolean, auto_punch_out_time:time without time zone, created_by_id:integer, day_id:bigint, modified_by_id:integer, shift_id_id:bigint
base_employeeshiftschedule_company_id|id:bigint, employeeshiftschedule_id:bigint, company_id:bigint
base_employeetype|id:bigint, created_at:timestamp with time zone, is_active:boolean, employee_type:character varying, created_by_id:integer, modified_by_id:integer
base_employeetype_company_id|id:bigint, employeetype_id:bigint, company_id:bigint
base_historicalrotatingshiftassign|id:bigint, created_at:timestamp with time zone, is_active:boolean, history_title:character varying, history_description:text, history_highlight:boolean, start_date:date, next_change_date:date, based_on:character varying, rotate_after_day:integer, rotate_every_weekend:character varying, rotate_every:character varying, additional_data:jsonb, history_id:integer, history_date:timestamp with time zone, history_change_reason:character varying, history_type:character varying, created_by_id:integer, current_shift_id:bigint, employee_id_id:bigint, history_relation_id:bigint, history_user_id:integer, modified_by_id:integer, next_shift_id:bigint, rotating_shift_id_id:bigint
base_historicalrotatingshiftassign_history_tags|id:bigint, historicalrotatingshiftassign_id:integer, audittag_id:bigint
base_historicalrotatingworktypeassign|id:bigint, created_at:timestamp with time zone, is_active:boolean, history_title:character varying, history_description:text, history_highlight:boolean, start_date:date, next_change_date:date, based_on:character varying, rotate_after_day:integer, rotate_every_weekend:character varying, rotate_every:character varying, additional_data:jsonb, history_id:integer, history_date:timestamp with time zone, history_change_reason:character varying, history_type:character varying, created_by_id:integer, current_work_type_id:bigint, employee_id_id:bigint, history_relation_id:bigint, history_user_id:integer, modified_by_id:integer, next_work_type_id:bigint, rotating_work_type_id_id:bigint
base_historicalrotatingworktypeassign_history_tags|id:bigint, historicalrotatingworktypeassign_id:integer, audittag_id:bigint
base_historicalshiftrequest|id:bigint, created_at:timestamp with time zone, is_active:boolean, history_title:character varying, history_description:text, history_highlight:boolean, requested_date:date, reallocate_approved:boolean, reallocate_canceled:boolean, requested_till:date, description:text, is_permanent_shift:boolean, approved:boolean, canceled:boolean, shift_changed:boolean, history_id:integer, history_date:timestamp with time zone, history_change_reason:character varying, history_type:character varying, created_by_id:integer, employee_id_id:bigint, history_relation_id:bigint, history_user_id:integer, modified_by_id:integer, previous_shift_id_id:bigint, reallocate_to_id:bigint, shift_id_id:bigint
base_historicalshiftrequest_history_tags|id:bigint, historicalshiftrequest_id:integer, audittag_id:bigint
base_historicalworktyperequest|id:bigint, created_at:timestamp with time zone, is_active:boolean, history_title:character varying, history_description:text, history_highlight:boolean, requested_date:date, requested_till:date, description:text, is_permanent_work_type:boolean, approved:boolean, canceled:boolean, work_type_changed:boolean, history_id:integer, history_date:timestamp with time zone, history_change_reason:character varying, history_type:character varying, created_by_id:integer, employee_id_id:bigint, history_relation_id:bigint, history_user_id:integer, modified_by_id:integer, previous_work_type_id_id:bigint, work_type_id_id:bigint
base_historicalworktyperequest_history_tags|id:bigint, historicalworktyperequest_id:integer, audittag_id:bigint
base_holidays|id:bigint, created_at:timestamp with time zone, is_active:boolean, name:character varying, start_date:date, end_date:date, recurring:boolean, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
